# tab separated values
# make sure your editor does not convert tabs to spaces!!!

# region	state	city	storenumber	[Azure Region [centralus]]

central	ks	kc	101	centralus
central	ks	kc	102	centralus
central	ks	kc	103	centralus
central	ks	kc	104	centralus
central	ks	kc	105	centralus
central	ks	wichita	101	centralus
central	ks	wichita	102	centralus
central	ks	wichita	103	centralus
central	ks	wichita	104	centralus
central	ks	wichita	105	centralus
central	mo	columbia	101	centralus
central	mo	columbia	102	centralus
central	mo	columbia	103	centralus
central	mo	columbia	104	centralus
central	mo	columbia	105	centralus
central	mo	east	101	centralus
central	mo	east	102	centralus
central	mo	east	103	centralus
central	mo	east	104	centralus
central	mo	east	105	centralus
central	mo	north	101	centralus
central	mo	north	102	centralus
central	mo	north	103	centralus
central	mo	north	104	centralus
central	mo	north	105	centralus
central	mo	south	101	centralus
central	mo	south	102	centralus
central	mo	south	103	centralus
central	mo	south	104	centralus
central	mo	south	105	centralus
central	mo	stlouis	101	centralus
central	mo	stlouis	102	centralus
central	mo	stlouis	103	centralus
central	mo	stlouis	104	centralus
central	mo	stlouis	105	centralus
central	mo	west	101	centralus
central	mo	west	102	centralus
central	mo	west	103	centralus
central	mo	west	104	centralus
central	mo	west	105	centralus
central	tx	aus	101	centralus
central	tx	aus	102	centralus
central	tx	aus	103	centralus
central	tx	aus	104	centralus
central	tx	aus	105	centralus
central	tx	dallas	101	centralus
central	tx	dallas	102	centralus
central	tx	dallas	103	centralus
central	tx	dallas	104	centralus
central	tx	dallas	105	centralus
central	tx	east	101	centralus
central	tx	east	102	centralus
central	tx	east	103	centralus
central	tx	east	104	centralus
central	tx	east	105	centralus
central	tx	houston	101	centralus
central	tx	houston	102	centralus
central	tx	houston	103	centralus
central	tx	houston	104	centralus
central	tx	houston	105	centralus
central	tx	north	101	centralus
central	tx	north	102	centralus
central	tx	north	103	centralus
central	tx	north	104	centralus
central	tx	north	105	centralus
central	tx	san	101	centralus
central	tx	san	102	centralus
central	tx	san	103	centralus
central	tx	san	104	centralus
central	tx	san	105	centralus
central	tx	south	101	centralus
central	tx	south	102	centralus
central	tx	south	103	centralus
central	tx	south	104	centralus
central	tx	south	105	centralus
central	tx	west	101	centralus
central	tx	west	102	centralus
central	tx	west	103	centralus
central	tx	west	104	centralus
central	tx	west	105	centralus
east	ga	athens	101	eastus
east	ga	athens	102	eastus
east	ga	athens	103	eastus
east	ga	athens	104	eastus
east	ga	athens	105	eastus
east	ga	atl	101	eastus
east	ga	atl	102	eastus
east	ga	atl	103	eastus
east	ga	atl	104	eastus
east	ga	atl	105	eastus
east	ga	north	101	eastus
east	ga	north	102	eastus
east	ga	north	103	eastus
east	ga	north	104	eastus
east	ga	north	105	eastus
east	ga	south	101	eastus
east	ga	south	102	eastus
east	ga	south	103	eastus
east	ga	south	104	eastus
east	ga	south	105	eastus
east	nc	charlotte	101	eastus
east	nc	charlotte	102	eastus
east	nc	charlotte	103	eastus
east	nc	charlotte	104	eastus
east	nc	charlotte	105	eastus
east	nc	durham	101	eastus
east	nc	durham	102	eastus
east	nc	durham	103	eastus
east	nc	durham	104	eastus
east	nc	durham	105	eastus
east	nc	east	101	eastus
east	nc	east	102	eastus
east	nc	east	103	eastus
east	nc	east	104	eastus
east	nc	east	105	eastus
east	nc	raleigh	101	eastus
east	nc	raleigh	102	eastus
east	nc	raleigh	103	eastus
east	nc	raleigh	104	eastus
east	nc	raleigh	105	eastus
east	nc	west	101	eastus
east	nc	west	102	eastus
east	nc	west	103	eastus
east	nc	west	104	eastus
east	nc	west	105	eastus
west	ca	east	101	westus
west	ca	east	102	westus
west	ca	east	103	westus
west	ca	east	104	westus
west	ca	east	105	westus
west	ca	la	101	westus
west	ca	la	102	westus
west	ca	la	103	westus
west	ca	la	104	westus
west	ca	la	105	westus
west	ca	north	101	westus
west	ca	north	102	westus
west	ca	north	103	westus
west	ca	north	104	westus
west	ca	north	105	westus
west	ca	sac	101	westus
west	ca	sac	102	westus
west	ca	sac	103	westus
west	ca	sac	104	westus
west	ca	sac	105	westus
west	ca	sand	101	westus
west	ca	sand	102	westus
west	ca	sand	103	westus
west	ca	sand	104	westus
west	ca	sand	105	westus
west	ca	sfo	101	westus
west	ca	sfo	102	westus
west	ca	sfo	103	westus
west	ca	sfo	104	westus
west	ca	sfo	105	westus
west	ca	south	101	westus
west	ca	south	102	westus
west	ca	south	103	westus
west	ca	south	104	westus
west	ca	south	105	westus
west	ca	west	101	westus
west	ca	west	102	westus
west	ca	west	103	westus
west	ca	west	104	westus
west	ca	west	105	westus
west	wa	central	101	westus
west	wa	central	102	westus
west	wa	central	103	westus
west	wa	central	104	westus
west	wa	central	105	westus
west	wa	east	101	westus
west	wa	east	102	westus
west	wa	east	103	westus
west	wa	east	104	westus
west	wa	east	105	westus
west	wa	olympia	101	westus
west	wa	olympia	102	westus
west	wa	olympia	103	westus
west	wa	olympia	104	westus
west	wa	olympia	105	westus
west	wa	sea	101	westus
west	wa	sea	102	westus
west	wa	sea	103	westus
west	wa	sea	104	westus
west	wa	sea	105	westus
west	wa	spokane	101	westus
west	wa	spokane	102	westus
west	wa	spokane	103	westus
west	wa	spokane	104	westus
west	wa	spokane	105	westus
west	wa	tacoma	101	westus
west	wa	tacoma	102	westus
west	wa	tacoma	103	westus
west	wa	tacoma	104	westus
west	wa	tacoma	105	westus
west	wa	west	101	westus
west	wa	west	102	westus
west	wa	west	103	westus
west	wa	west	104	westus
west	wa	west	105	westus
